subject,catalog_nbr,units_maximum,course_title_long,prereq,hub
CASAA,100,4.0,Topics in African American Studies,,
CASAA,103,4.0,Introduction to African American Literature,"First-Year Writing Seminar (WR 120 or equivalent) - What is the African American literary tradition? In this course, we will read poetry, slave narratives, essays, speeches, tales, short stories, and novels and consider how culture, politics, and history shape African American literature","Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASAA,112,4.0,Black Power in the Classroom: The History of Black Studies,,"Historical Consciousness, Social Inquiry I, Research and Information Literacy"
CASAA,113,4.0,Introduction to Antiracism,,"The Individual in Community, Historical Consciousness, Critical Thinking"
CASAA,114,4.0,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America",,"Global Citizenship and Intercultural Literacy, Aesthetic Exploration, Critical Thinking"
CASAA,122,4.0,An Introduction to the African American Experience,,
CASAA,132,4.0,Write Back Soon: Blackness and the Prison,,"The Individual in Community, Aesthetic Exploration, Critical Thinking"
CASAA,200,4.0,Topics in African American Studies,,
CASAA,207,4.0,Sociology of Race and Ethnicity,,"Historical Consciousness, The Individual in Community, Research and Information Literacy"
CASAA,210,4.0,American Minstrelsy,"First Year Writing Seminar (e.g., WR 100 or WR 120) - An American entertainment historically rooted in commodified performance of ""blackness"", this course engages with the complicated history of minstrelsy as both a racist and progressive art form",
CASAA,215,4.0,Arts of Africa and Its Diaspora,,"Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASAA,221,4.0,Catastrophe and Memory,,
CASAA,225,4.0,Topics in Religion and Music,,
CASAA,234,4.0,African Americans in Global Perspective: Slavery and the Creation of Race,,"Ethical Reasoning, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASAA,237,4.0,Reconstructing the African Past,,
CASAA,238,4.0,Modern Africa,,
CASAA,270,4.0,"Race, Sex and Science Fiction",,
CASAA,287,4.0,Slavery and the In-Between,,
CASAA,294,4.0,Religion and Black Popular Music,,
CASAA,296,4.0,Religion and Hip Hop,,"Digital/Multimedia Expression, Aesthetic Exploration, Creativity/Innovation"
CASAA,297,4.0,African American Women's History,,"Digital/Multimedia Expression, Historical Consciousness, Social Inquiry I"
CASAA,300,4.0,Topics in African American Studies,,
CASAA,301,4.0,African Diaspora Archaeology,,
CASAA,303,4.0,African Americans and the Humanities,,
CASAA,304,4.0,Introduction to African American Women Writers,"First-Year Writing Seminar (e.g., WR 120) - This course studies the cultural contexts and the ongoing relevance of significant works by African American Women Writers","Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASAA,305,4.0,Toni Morrison's American Times,one previous literature course or junior or senior standing,"Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASAA,308,4.0,Race and Politics,,"Social Inquiry II, Ethical Reasoning, Critical Thinking"
CASAA,309,4.0,African American History in Global and Comparative Perspective,,
CASAA,310,4.0,Civil Rights History,,
CASAA,311,4.0,African American Religious History,,
CASAA,312,4.0,Studies in West Indian Literature: Caribbean Poetry,,
CASAA,313,4.0,The Politics and Policy of HBO's The Wire,,"Social Inquiry II, Ethical Reasoning, Teamwork/Collaboration"
CASAA,316,4.0,Art of the African Diaspora,,
CASAA,319,4.0,Race and the Politics of Criminal Justice Policy,,"Social Inquiry I, Ethical Reasoning, Critical Thinking"
CASAA,326,4.0,The Economics and Politics of Racial Inequality,(CASEC101 OR CASEC111) or consent of instructor,
CASAA,335,4.0,"Sociology of Race, Class & Gender","At least one prior 100- or 200-level Sociology course, or CASWS 101/102","Digital/Multimedia Expression, The Individual in Community, Historical Consciousness"
CASAA,348,4.0,Colonialism in Africa,,
CASAA,350,4.0,"Resistance, Revolution, and Slavery in African American Literature",,
CASAA,355,4.0,"Science, Race, and Society",(CASSO203 OR CASSO207) or consent of instructor,
CASAA,356,4.0,Religion in the Digital Age,"First-Year Writing Seminar (CAS WR 120 or equivalent) - How has technology impacted religion' This hands-on course explores how digital technologies like the Internet, social media, gaming, and artificial intelligence have changed the way that people think about religion",
CASAA,363,4.0,Race and the Development of the American Economy: A Global Perspective,(CASEC 101) or consent of instructor,"Historical Consciousness, Social Inquiry II"
CASAA,371,4.0,Black Freedom Dreams: America and the World,,"Digital/Multimedia Expression, Historical Consciousness, Teamwork/Collaboration"
CASAA,380,4.0,European Dimensions of the Black Diaspora,,
CASAA,382,4.0,History of Religion in Pre-Colonial Africa,,
CASAA,383,4.0,African Diaspora Religions,,"The Individual in Community, Historical Consciousness, Research and Information Literacy"
CASAA,385,4.0,Atlantic History,,
CASAA,388,4.0,Transnational Black Radicalism from the 19th Century to the Present,,
CASAA,390,4.0,Special Topics in Cinema and Media Studies,,
CASAA,395,4.0,"Power, Leadership, and Governance in Africa and the Caribbean",,
CASAA,396,4.0,Atlantic Africa and the Slave Trade,,
CASAA,400,4.0,Topics in African American Studies,,
CASAA,404,4.0,Seminar on Sociology of Families,junior or senior standing and at least two previous Sociology courses; or consent of instructor,"Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Research and Information Literacy"
CASAA,408,4.0,"Seminar: Ethnic, Race, and Minority Relations",(CASAA207 OR CASSO207) or consent of instructor,
CASAA,410,4.0,The Poetics and Politics of Hip Hop,,
CASAA,411,4.0,"Race, Memory, and Diaspora in US Popular Music",,
CASAA,415,4.0,Fictions of Race and Migration,,
CASAA,416,4.0,"Religion, Race, and Climate Change",,
CASAA,420,4.0,African American and Asian American Women Writers: Cross-Cultural Perspective,First-Year Writing Seminar (WR 120 or equivalent),"Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASAA,430,4.0,Black American Cinema,,"The Individual in Community, Aesthetic Exploration"
CASAA,459,4.0,"Reparations, Restitution, Restorative Justice for Slavery and Jim Crow Segregation: The Debate",,
CASAA,477,4.0,Critical Studies: Black Diaspora Theory and Practice,,"The Individual in Community, Aesthetic Exploration, Critical Thinking"
CASAA,480,4.0,The History of Racial Thought,,
CASAA,488,4.0,Critical Studies in African American Literature,two previous literature courses or junior or senior standing,
CASAA,489,4.0,The African Diaspora in the Americas,consent of instructor,
CASAA,490,4.0,Blacks and Asians: Encounters Through Time and Space,,
CASAA,491,6.0,Directed Study in African American Studies,consent of director,
CASAA,492,6.0,Directed Study in African American Studies,consent of director,
CASAA,493,4.0,Special Topics in Cinema and Media Studies,,
CASAA,500,4.0,Topics in African American Studies,,
CASAA,501,4.0,Topics in African American Literature,,
CASAA,502,4.0,Topics in African American Literature,,
CASAA,504,4.0,African American and Asian American Women Writers: Cross-Cultural Perspective,one previous literature course or junior or senior standing,
CASAA,505,4.0,Black Community and Social Change,,
CASAA,506,4.0,The Black Pacific: Feminisms and Futurities,,
CASAA,507,4.0,Literature of the Harlem Renaissance,"First Year Writing Seminar (e.g., EN 120 or WR 100 or WR 120)","Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASAA,510,4.0,African American Drama,,
CASAA,513,4.0,Readings in American Politics,,
CASAA,514,4.0,"Labor, Sexuality, and Resistance in the Afro-Atlantic World",junior standing,"Global Citizenship and Intercultural Literacy, Historical Consciousness"
CASAA,517,4.0,Urban Politics and Policy,"First Year Writing Seminar (e.g., WR 100 or WR 120) - Explores the impact of American urban politics on the implementation of local policy","The Individual in Community, Writing-Intensive Course, Teamwork/Collaboration"
CASAA,519,4.0,Inequality and American Politics,"First Year Writing Seminar (e.g., WR 100 or WR 120) - This course examines the role of income inequality in shaping American politics and policy",
CASAA,523,4.0,"Race, Ethnicity, and Childhood in US History",First Year Writing Seminar,"Writing-Intensive Course, Historical Consciousness (HCO), Creativity/Innovation"
CASAA,537,4.0,Studies in West Indian Literature: Caribbean Fiction,junior standing,
CASAA,538,4.0,Studies in West Indian Literature: Caribbean Poetry,,
CASAA,559,4.0,Reckoning with the Past: Reparations and Justice in Comparative Perspective,,
CASAA,563,4.0,Race and the Development of the American Economy: A Global Perspective,(CASEC101) consent of instructor,
CASAA,564,4.0,From Slavery to Freedom: Abolition in Comparative Perspective,,
CASAA,569,4.0,African American Economic History,(CASEC101 OR CASEC111) and junior standing,
CASAA,571,4.0,Problems in African Diaspora Art History,,
CASAA,574,4.0,"Introduction to Critical University Studies: Space, Place, and BU",,
CASAA,580,4.0,"White Supremacist Thought: Self, Culture and Society since the 18th Century",,
CASAA,581,4.0,African American and Afro-Caribbean Intellectuals on World Affairs,,
CASAA,583,4.0,Black Radical Thought,,
CASAA,585,4.0,The Afro-Russian Experience,,
CASAA,586,4.0,African City Life,,
CASAA,588,4.0,"Women, Power, and Culture in Africa",,
CASAA,590,4.0,The World and the West,consent of instructor,
CASAA,591,4.0,Black Thought: Literary and Cultural Criticism in the African Diaspora,two previous literature courses or junior or senior standing,
CASAA,600,4.0,"Seminar in African American Studies: Roots of Disparity: Racism, and Pathways to Health Justice",,
CASAA,616,4.0,"Religion, Race, and Climate Change",,
CASAA,620,4.0,African American and Asian American Women Writers: Cross-Cultural Perspective,First-Year Writing Seminar (WR 120 or equivalent),"Writing-Intensive Course, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASAA,630,4.0,Black American Cinema,,"The Individual in Community, Aesthetic Exploration"
CASAA,656,4.0,Religion in the Digital Age,"First-Year Writing Seminar (e.g., WR120) - How has technology impacted religion' This hands-on course explores how digital technologies like the Internet, social media, gaming, and artificial intelligence have changed the way that people think about religion",
CASAA,677,4.0,Critical Studies: Black Diaspora Theory and Practice,,"The Individual in Community, Aesthetic Exploration, Critical Thinking"
CASAA,683,4.0,African Diaspora Religions,,"The Individual in Community, Historical Consciousness, Research and Information Literacy"
CASAA,688,4.0,Critical Studies in African American Literature,two previous literature courses or junior or senior standing,
CASAA,699,2.0,TEACHING COLL,,
CASAA,716,4.0,African Diaspora Arts in the Americas,,
CASAA,740,4.0,"Science, Technology, Media: Race and Contemporary Criticism","for GRS students only - This course focuses on racial engagements with science, technology and media",
CASAA,804,4.0,Seminar: The Family,,
CASAA,808,4.0,"Seminar: Ethnic, Race, and Minority Relations",,
CASAA,871,4.0,Seminar in African American History,,
CASAA,882,4.0,History of Religion in Pre-Colonial Africa,,
CASAA,885,4.0,Atlantic History,,
CASAA,901,8.0,Directed Study in African American Studies,consent of instructor,
CASAA,902,8.0,Directed Study in African American Studies,consent of instructor,
CASAA,981,0.0,Certified Full-Time Study,,
CASAA,982,2.0,Certified Full-Time Study,,
CASAA,983,0.0,Continuing Study Part-Time,,
CASAA,984,2.0,Continuing Study Part-Time,,
CASAA,985,0.0,Continuing Study Full-Time,,
CASAA,986,2.0,Continuing Study Full-Time,,
CASAH,100,4.0,Advanced Standing in Art History,,
CASAH,111,4.0,Pyramids to Cathedrals: An Introduction to Ancient and Medieval Art,,"Aesthetic Exploration, Historical Consciousness, Creativity/Innovation"
CASAH,112,4.0,Introduction to Art in Europe and the United States from the Renaissance to Post- Modernism,,
CASAH,113,4.0,Arts and Monuments of Asia,,
CASAH,114,4.0,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America",,"Global Citizenship and Intercultural Literacy, Aesthetic Exploration, Critical Thinking"
CASAH,150,4.0,Writing on Art,(CASWR100) - A writing course to fulfill the WR 150 requirement for students with an interest in art history,
CASAH,190,4.0,TPCS: HAA,,
CASAH,200,4.0,MFA LEC: TBA,,
CASAH,201,4.0,Understanding Architecture,,"Aesthetic Exploration, Historical Consciousness, Research and Information Literacy"
CASAH,204,4.0,Topics in Religion and the Visual Arts,,
CASAH,205,4.0,History of World Architecture,,"Historical Consciousness, Global Citizenship and Intercultural Literacy, Research and Information Literacy"
CASAH,208,4.0,Art and Politics,,
CASAH,210,4.0,Learning to See,,"Aesthetic Exploration, Historical Consciousness, Critical Thinking"
CASAH,214,4.0,Modern Painting and Sculpture,,
CASAH,215,4.0,Arts of Africa and Its Diaspora,,"Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Critical Thinking"
CASAH,220,4.0,Islamic Art and Architecture,,"Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Research and Information Literacy"
CASAH,222,4.0,Art and Architecture in Ancient America,,
CASAH,225,4.0,The Arts of Asia,,"Aesthetic Exploration, Historical Consciousness, Research and Information Literacy"
CASAH,226,4.0,Arts of Japan,,
CASAH,227,4.0,Arts of China,,
CASAH,228,4.0,Arts of the Silk Road,,
CASAH,232,4.0,Archaeology of Ancient Egypt,,"Aesthetic Exploration, Historical Consciousness"
CASAH,233,4.0,The Arts of Greece,,"Aesthetic Exploration, Historical Consciousness"
CASAH,234,4.0,The Art of Rome,,"Aesthetic Exploration, Historical Consciousness"
CASAH,240,4.0,Medieval Art in Europe,,"Aesthetic Exploration, Historical Consciousness"
CASAH,242,4.0,Latin American Art Since Contact,,"Aesthetic Exploration, Historical Consciousness"
CASAH,251,4.0,Ancient Maya Civilization,,"Historical Consciousness, Social Inquiry I"
CASAH,252,4.0,Ancient Aztec and Inca Civilization,,
CASAH,257,4.0,Renaissance Art,,"Aesthetic Exploration, Historical Consciousness, Critical Thinking"
CASAH,258,4.0,The Spaces of Art: from Velazquez to the Private Gallery in Spain,,"Aesthetic Exploration, Global Citizenship and Intercultural Literacy"
CASAH,275,4.0,Baroque Art,,
CASAH,284,4.0,Arts in America,,"Aesthetic Exploration, Historical Consciousness, Teamwork/Collaboration"
CASAH,287,4.0,The Nineteenth Century,,"Aesthetic Exploration, Historical Consciousness"
CASAH,290,4.0,The Arts in the Twentieth Century,,
CASAH,295,4.0,History of Photography,,
CASAH,301,0.5,Art History Internship,,
CASAH,306,4.0,Themes and Variations in the History of Art,,
CASAH,311,4.0,"Arab Cities: Architecture, Politics, Religion",,
CASAH,313,4.0,Imperial Reflections: Early Modern Islamic Art and Architecture,,"Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Research and Information Literacy"
CASAH,314,4.0,After Genghis Khan: Art and Architecture in Central Asia and Iran,,"Aesthetic Exploration, Global Citizenship and Intercultural Literacy, Research and Information Literacy"
CASAH,315,4.0,African Architecture and Urbanism,,
CASAH,316,4.0,Art of the African Diaspora,,
CASAH,317,4.0,From Morocco to Timbuktu: Art and Architecture at the Saharan Crossroads,,"Global Citizenship and Intercultural Literacy, Digital/Multimedia Expression, Creativity/Innovation"
CASAH,322,4.0,Ancient Aztec and Inca Civilizations,"(CASAH222 OR CASAR100 OR CASAR101 OR CASAR205 OR CASAR351 OR CASA R352) - The conquests, trade, society, history, religion, art, and architecture of the Aztec and Inca Empires in Mexico and Peru, as revealed archaeologically and in the accounts of their Spanish conquerors",
CASAH,323,4.0,Topics in Latin American Art,,
CASAH,325,4.0,"Art, Media, and Buddhism",,"Aesthetic Exploration, Historical Consciousness, Teamwork/Collaboration"
CASAH,326,4.0,Arts of Japan,,"Aesthetic Exploration, Historical Consciousness, Research and Information Literacy"
CASAH,327,4.0,Arts of China,,"Global Citizenship and Intercultural Literacy, Aesthetic Exploration, Research and Information Literacy"
CASAH,328,4.0,Modern Japanese Architecture,,"Global Citizenship and Intercultural Literacy, Historical Consciousness, Critical Thinking"
CASAH,330,4.0,Greek Archaeology,,
CASAH,331,4.0,Early Greek Art and Architecture,"First-Year Writing Seminar (e.g., CASWR 100 or WR 120)","Aesthetic Exploration, Historical Consciousness, Writing-Intensive Course"
CASAH,332,4.0,Greek and Roman Cities,,
CASAH,333,4.0,Arts of Classical Greece,,
CASAH,336,4.0,Classical Architecture,,
CASAH,337,4.0,Art and Politics in the Roman Empire,,
CASAH,343,4.0,EAR CHR/BYZ ART,,
CASAH,345,4.0,Early Medieval and Romanesque Art,,
CASAH,347,4.0,Gothic Art,,
CASAH,348,4.0,A History of the Medieval Book,,
CASAH,350,4.0,Early Renaissance Art,,
CASAH,351,4.0,High Renaissance Art,,
CASAH,352,4.0,Venetian Renaissance Art,,"Aesthetic Exploration, Digital/Multimedia Expression, Creativity/Innovation"
CASAH,353,4.0,Italian Renaissance Architecture and Theory,,"Aesthetic Exploration, Creativity/Innovation, Digital/Multimedia Expression"
CASAH,356,4.0,French Art and Architecture,,
CASAH,358,4.0,Michelangelo,,
CASAH,359,4.0,Northern Renaissance Painting,,
CASAH,361,4.0,Southern Baroque Art,,
CASAH,362,4.0,Venetian Art,,
CASAH,363,4.0,The Arc of Russian and Ukrainian Art,,
CASAH,365,4.0,Baroque Arts in Northern Europe,,"Aesthetic Exploration, Historical Consciousness"
CASAH,366,4.0,Eighteenth-Century Art,,
CASAH,367,4.0,Material Culture,,
CASAH,368,4.0,"Graffiti, Street Art, and Independent Interventions in Public Space in Madrid",,"Aesthetic Exploration, Creativity/Innovation, Global Citizenship and Intercultural Literacy"
CASAH,369,4.0,American Folk Art,,
CASAH,371,4.0,Nineteenth-Century Photography,,
CASAH,372,4.0,Twentieth-Century Photography,,
CASAH,376,4.0,Housing America,,
CASAH,377,4.0,"American Furniture and Allied Arts, 1630-1830",,"Aesthetic Exploration, Historical Consciousness"
CASAH,378,4.0,American Furniture  2,,
CASAH,379,4.0,American Art and Culture in the Nineteenth Century,,
CASAH,380,4.0,The Age of Napoleon,,"Aesthetic Exploration, Historical Consciousness"
CASAH,382,4.0,Nineteenth-Century Architecture,,
CASAH,383,4.0,Paris and Its Architecture: From Monument to Urban Landscape,enrollment in the London and Paris Art & Architecture program,
CASAH,384,4.0,"Metropolis: Art and Politics in Istanbul, London, Paris, and New York",,
CASAH,385,4.0,American Buildings and Landscapes,,
CASAH,386,4.0,Modern American Art,,"Aesthetic Exploration, Historical Consciousness"
CASAH,387,4.0,Boston Architecture and Urbanism,,
CASAH,389,4.0,The Age of Impressionism,,
CASAH,390,4.0,Nineteenth-Century Painting and Sculpture,,
CASAH,391,4.0,Twentieth-Century Art to 1940,,"Aesthetic Exploration, Historical Consciousness, Research and Information Literacy"
CASAH,392,4.0,Twentieth Century Art from 1940 to 1980,,"Aesthetic Exploration, Historical Consciousness"
CASAH,393,4.0,Contemporary Art: 1980 to Now,,"Aesthetic Exploration, Historical Consciousness"
CASAH,395,4.0,History of Photography,,"Aesthetic Exploration, Historical Consciousness, Critical Thinking"
CASAH,398,4.0,Global Modern and Contemporary Architecture,CASAH 201 and CASAH 205 are recommended,"Historical Consciousness, Global Citizenship and Intercultural Literacy"
CASAH,399,4.0,History and Theory of Landscape Architecture,"First Year Writing Seminar (e.g., WR 100 or WR 120)",
CASAH,400,4.0,TPCS: HAA,,
CASAH,401,4.0,Senior Independent Work,approval of Honors Committee,
CASAH,402,4.0,Senior Independent Work,approval of Honors Committee,
CASAH,403,4.0,"Seminars at the Museum of Fine Arts, Boston",,
CASAH,404,4.0,Seminar: Topics in Museum Exhibits,consent of instructor,
CASAH,413,4.0,Seminar: Theory and Criticism of Art,(CASAH111 & CASAH112) - Considers art and architectural theory and criticism from various historical periods,
CASAH,415,4.0,Seminar: Women in Art,,
CASAH,417,4.0,The Art World,,
CASAH,418,4.0,CREATIVITY-IMAG,,
